content,toxic,source
确实，湖广填四川以后，人种已经很混乱了，所以乱用与否还不确定,0,CHSD
家暴只是给男人定的，男人打女人那叫暴力，女人得到的是同情，男人得到的是谴责；而女打男，得到的却是掌声，男被女打，不仅得不到同情，还会被取笑鄙视。平等吗？到底在哪里？有没有平等？,1,ToxiCN
另外见义勇为是非常高尚的品格，你不能拿这个当作普遍的基本的道德标准，更不能拿这个去苛责别人，尤其是处于yp之下的受害者本人，这太离谱了,1,ToxiCN
黑人是喜欢民主野兽还是喜欢儒家君子[惊喜],0,CHSD
你告诉我戴眼镜是歧视，梳分头是歧视，还是中年男性是歧视？或者说你觉得男人买带鱼回家有什么可耻的吗？你自己心里有歧视而已。,1,ToxiCN
真的是字字诛心啊,0,ToxiCN
出差遇到😅，这波啊，这波是探花大神旅游（出差）搭讪小视频,0,ToxiCN
都魔障了，而且又当又立，硬说别人是小号还死鸭子嘴硬，结果半点证据都拿不出来，这都有人附和他，ip啊，ip都不会看吗，就这还想洗白自己，连承认错误都不敢，还能干什么,1,ToxiCN
清新？大多？一个个女团跳起舞来感觉穿着打扮妆容还有搔首弄姿挤眉弄眼的动作，感觉就是软色情，观众也心知肚明吧,0,CHSD
歧视又怎么样，我们压根不欠他们黑人什么。,1,ToxiCN
长得越漂亮越觉得恶心,1,ToxiCN
我觉得吧 这个属于事不关己高高挂起的。因为都是上海人所以感同身受。换位思考一下如果是一个更加落后地区的人去作者家乡杀人。感觉第一反应也是觉得那个地区出来的人不好而不是精神问题。了解原因之后发现只是泄愤杀人就更加难受了,0,CHSD
你这很明显歧视俺们山东银，哈哈，虽然被歧视了，但是仍然不厚道的笑了,0,CHSD
一个秃了头的中年油腻胖大伯正事不干，欺负一个学生，还挺有脸是吧？这要是真的说出去都笑掉大牙，谁摊上这么个后代或丈夫也是倒了八辈子血霉,1,ToxiCN
为什么不支持同性恋就是束缚思想，这是道德绑架吗,1,ToxiCN
首先这东西真的能普及吗？我喜欢女人，喜欢的不是一个胎盘，我要这胎盘有何用？,0,ToxiCN
男的是坏，恶心，这种拉几我见一次打一次。女的是蠢贱，见一次鄙视一次。,1,CHSD
不知道吃那种清一色白色得那种食物的人生活得多不如意,0,ToxiCN
在下也不太能接受。不过有一个问题，假如那姑娘被黑人给QJ了怎么算⁉俺觉得这种情况反而能接受了😅,1,ToxiCN
相信自己的选择，不要因为生活的不堪跟挫折而产生质疑并停步不前，请你坚定不移的走下去。,0,ToxiCN
英媒称，找到了世界上最美的女孩环球时报的新闻哦,0,ToxiCN
跟过黑人的女人兄弟盟接不起这个婚，都嫁给你，没别的，慷慨🤭,1,ToxiCN
有图有真相，国外的现状我们的未来,0,ToxiCN
对，我就是九亿少女，林狗是是我的，大新哥也是我的,0,CHSD
有吗⁉咋感觉没看见几个夸黑人的媒体呀（礼貌询问）,0,ToxiCN
建议反同把交椅让给同性恋，能做得更好,1,ToxiCN
拉黑nt是正确的心理异常变泰的人总想和正常人搭话来证明自己也是正常的,1,ToxiCN
没有不准啊，每个人都有选择怎样生活的自由，大家只是在发表自己的见解。相反我见过跟不同人种都约过的，直言说喜欢白人立体的五官和黑人的大JJ，对方观念:及时行乐，做平凡人。我觉得对方十分坦诚，可以做朋友。,0,CHSD
你到底说的哪个吧？,0,ToxiCN
俄罗斯？常见个锤子😅俄罗斯嘿人几乎绝了😅,1,ToxiCN
为什么我要支持？你又你喜欢的权利 我也有反感的自由,0,ToxiCN
可怜的孩子，抱抱你,0,ToxiCN
马斯克属于典型的南非白人农场主极右翼，之前其各个公司屡次爆出过拒绝华裔技术人员入职，其推特不断传播反犹内容，还有其开的几大公司都是高技术企业，却没有一个信犹太教或东亚裔印度裔的技术总监，可以确定是很传统的极右翼了。,0,CHSD
贤惠这个词有强烈的性缘和性别色彩，实属诡异的一个词。,0,CHSD
我们东北这边山上有野生的松鼠，黑瘦黑瘦，不怕人。听说曾经有人抓过山上的松树，拎着没等走到山下呢，公安已经在半路等着他了。不知是不是真的，反正现在山上的松鼠是没人敢动的。小东西跟你要吃的甚是好玩。,0,CHSD
doi是啥,0,ToxiCN
不吃辣而骂人家吃辣虽然稍显粗鲁但也无所谓。 —— 我觉得这句话有问题，自己吃不吃辣，喜欢或者讨厌吃辣都是自己主观上的事情，没有任何问题，但是因此上升到骂人家吃辣就有问题了（这是有所谓的）。就像同性恋恋爱没有问题，但是因此骂异性恋就是有问题了。反过来讨厌同性恋也没有任何问题，但是上升到侮辱攻击那么就是有问题了。这是个度的问题。。。任何的喜好行为都以不伤害别人为前提。,0,ToxiCN
别说你一个男人了，我一个女人都想不通为什么她们一个个要嫁给黑人，难道个个都是奥巴马？还是曼德拉？,1,CHSD
黑鬼基因太强，此鬼虽然是黑杂，但看上去跟纯种黑鬼并无太大区别。中国女人的子宫，一旦被黑精灌入，所生的崽几代都是黑杂。,1,ToxiCN
其实我觉得只要一说 河南人 这三个字就会戳到你的痛点啊。何必在意呢？我经常和室友开玩笑 看井盖~。人家也不生气啊~哪儿没个黑点,0,CHSD
我这个人思想很开明，我觉得是这样，女的喜欢找黑人有错吗？对于我来说没有错，我看不上跟黑人交往过的女性有错吗？我也没有错，反正我俩又走不到一起，谁也不挨着谁，但是你不能跟黑人交往过，又来强迫我接受你，大海捞针也就算了，我哪知道什么时候我得艾滋了？,1,ToxiCN
第一，我说的当地人，当然包括当地的服务业，表示当地人说当地话是常态。第二，我说的前公司，这种情况都讲粤语明显是排外，你听了两句四川话就不高兴了，我这个我是不是要把讲粤语的全部骂一顿才好？不要一棒子打死,0,CHSD
这个我看过，印象特别深，杀人之后还对岳父岳母特别好，工资上交，顾家还买菜做饭，不过女儿失踪岳父觉得有问题，问过男的好几次,0,CHSD
应该搭配黑人抬棺音乐，给他愉悦送走。,0,CHSD
韦小宝将母亲拉入房中，问道：“我的老子倒底是谁？”韦春芳瞪眼道：“我怎么知道？”韦小宝皱眉道：“你肚子里有我之前，接过什么客人？”韦春芳道：“那时你娘我标致得很，每天有好几个客人，我怎么记得这许多？”韦小宝道：“这些客人都是汉人罢？”韦春芳道：“汉人自然有，满洲官也有，还有蒙古的武官呢。”韦小宝道：“外国鬼子没有罢？”韦春芳怒道：“你当你妈是烂婊子吗？连外国鬼子也接？辣块妈妈，罗刹鬼、红毛鬼子到丽春院来，老娘用大扫帚拍了出去。”韦小宝这才放心，道：“那很好！”韦春芳抬起了头，回忆往事，道：“那时候有个回子，常来找我，他相貌很俊，我心里常说，我家小宝的鼻子得好，有点儿像他。”韦小宝道：“汉满蒙回都有，有没有西藏人？”韦春芳大是得意，道：“怎么没有？那个西藏喇嘛，上床前一定要念经，一面念经，眼珠子就骨溜溜的瞧着我。你一双眼睛贼忒嘻嘻的，真像那个喇嘛！（阴阳怪气和生气的大可不必，这是金庸他老人家写的。）哈哈哈哈哈窑姐不接的你接接完了找我啊,1,ToxiCN
你是有病还是怎么回事，黑人区犯罪率就是高啊，黑人区的保险都更贵，自己去谷歌查数据吧zz,1,CHSD
你要看是什么专业了，有的专业，女生即使成绩再好，也只能是个例，不会普遍。,0,CHSD
嗨人也可怜，拿着美籍来中国装洋贵人，回自己国家挨枪子哭着黑命贵，,1,CHSD
黄种人打仗行，发明，文化，还得靠印欧闪含,0,CHSD
你肯定是居住北京，被②房東坑過多次🤭,1,ToxiCN
什么时候大家都能不把自己称作黄种人了，能在各地频繁组织大型的亚裔反种族歧视的活动了，估计鬼佬也就不敢歧视亚裔了。,1,CHSD
这里说没啥用，重口味的女人不会出现在这里,1,ToxiCN
黑人基因永远抹不掉！黑人特别懒，哪些找黑人的不恶心吗？,1,CHSD
不同意。黑命贵何德何能比肩义和团？中国革命者毛和孙是如何评价义和团的？义和团组织再松散那也是有组织，脑袋绑在裤腰带上反殖民，黑人呢？ 黑人一直在被殖民，黑命贵无非就是祈求白人老爷殖民的时候多赏碗饭而已。,0,CHSD
很严重。 男女不平等的例子比比皆是。,0,CHSD
应该是能给研究秦的文化有帮助，东来说被确认研究方向也会偏向汉族的特点来，要是西来研究方向就会考虑到少数民族的特点，总之意义不会是说秦人是西方人而不是中国人，,0,CHSD
黑人分明就是觉得我们好欺负，这个恶心人,1,CHSD
"能别乱说话吗, 不喜欢这个主演就是看不惯黑人? 环一里的黑人大叔比他不知高到哪里去了。",0,CHSD
我要质问造物主，为什么把蝻人设计得这么贱这么恶心，却把女性设计得如此完美？是因为造物主也讨厌蝻人吗？性别歧视，是不对的,1,ToxiCN
哪儿有精神白人牛呢？白人老爷永远没错！杀人没错，凡是被白人老爷杀的，都是坏人，佛洛依德，阿富汗平民都该死；抢劫没错，,1,CHSD
上面的度°C别在那洗了，刷屏不是你们干的？别搞笑了好吗，想看开始什么样多刷几页帖子就能看到，少往自己脸上贴金,1,ToxiCN
对于那个被歧视却很少游行的……我想了想……好像真的很少看到关于华人游行的新闻。其实真的不太能理解种族歧视这个东西，白人和黑人对我来说都是外国人，没什么区别的_(:з」∠)_,0,CHSD
原回答：如果你来上外，你会发现，大学女生不仅成绩比男生好，其他方面也是。,0,CHSD
我一白人朋友请我去我待的城市的一个酒吧喝酒，里面除了工作人员，还有舞池里夹杂的一些漂亮的性感国内姑娘之外，其他人全部是黑人和白人，挤得满满当当的，我都不敢相信这是在中国…喝了几口酒，我招呼没打自己离开了…实在融入不了，但是那些姑娘融入得很好，我估计每个一线二线城市的酒吧街区都有这样的外国人聚集地酒吧，里面乐手都是国外的，我觉得正常男人都会觉得憋屈进去待不了一分钟我的意思是，您可以试着去外国人聚集的酒吧看看，一定会有惊喜的，眼见为实嘛,0,ToxiCN
看看你下面第三条评论就知道答主为什么会说“上海几乎没有家暴”了。答主都这样打提前量了，照样有黑上海的喷子跑出来。,0,CHSD
那好，有个问题我要问你？不知你看不看香港的电影？里边的黑社会从来都是和暴力、高利贷、保护费一同出现。 我就问你我能守法不借高利贷，你能保证黑社会不收我保护费吗？,1,CHSD
同性恋也可以跟异性结婚生小孩的没啥的,0,ToxiCN
不好意思，大多数黑人从来不会这么思考问题，而是我犯罪成绩不好就是你们歧视造成的[酷],1,CHSD
扯吧，苏美尔文明就是黄种人创立的！中国古人极有可能去苏美尔那边迁移过来的,0,CHSD
？？？？不是给我推荐的，是我自己去搜的，因为看到一个人曝光那个女人了,0,ToxiCN
前面你说你选清华，我没有任何异议。我针对的是后面你反驳知友的五百万对90%的中国人的意义，你不是这90%却强行把自己归为普通人，和那些在天津自称小城市的一样 算了，不能太不友善了（源自日报前几天的文章下的评论）,0,CHSD
正黄旗的啊 慈禧是你奶奶??,1,ToxiCN
滴滴司机请不要接单身女性的订单！为了自身的安全！,1,ToxiCN
元春长得就很像古画里的仕女,0,CHSD
今天我在浦东新区某镇看见一个身材高大肌肉壮硕的黑人和身材矮小的中国女子在一起，去一家洗浴洗脚中心里面去了，真是没办法！我十分反感中国女子嫁黑人！,1,ToxiCN
黑人歧视华人，华人就唯唯诺诺，打不还手，骂不还口[飙泪笑],1,CHSD
那得看是谁去整军备战了。左公和他的部下铁骨铮铮，他们去收复新疆却没有像李鸿章的部队因腐败而战败。李鸿章呢？把军队当作是自己的筹码，军队贪污腐败，李中堂一味避战求和，最后北洋军被歼灭。,0,CHSD
"假如我在美国，我可能刚说第一句话就被打倒在地了:什么！你居然说黑人素质低,hehe",1,CHSD
我们没有义务要从一堆坏豆子里甄选那百分之一的良豆，更没有必要为了这百分之一的良豆而放任那百分之九十九的坏豆子烂豆子在我们地上肆意疯长，扰乱秩序，挤占我们的生存空间。,1,ToxiCN
虽然没这种担心，但我还是只敢去重庆,0,ToxiCN
它们要的是特权,0,ToxiCN
歧视中国人为什么非得知道中国首都？只要知道中国人是黄种人就行了，否则歧视之前是不是还要做个歧视入门考试没考过就不能歧视？（笑）,1,CHSD
怎么可能心宽，我辛辛苦苦考上大学，看见黑人确坐在那都享受超国民待遇，我们拿奖学金还要争抢，人家坐在那就有学校和政府送钱到手上，黑人，却在中国比中国人还要高级，真是不幸,0,CHSD
有的北京人就是看不起外地人，真的 这件事情从我小时候去北京，在公交车上有人就对外地人流露出那种鄙夷的眼神，那会儿还是零几年的时候。,1,CHSD
你以为苏北人在面对外省的时候态度好吗？不，别人一口一个我们江苏人，欺负别人不清楚苏北苏南的区别，在外面把自己当天龙人,1,ToxiCN
我不懂那么多花里胡哨的大道理，我就是单纯的歧视黑人。😓,1,ToxiCN
女人当，才说明性别歧视在消除,0,CHSD
我感觉西方的教会拒绝甚至诅咒同性恋是对他们信仰的维护。我也不容我的信仰被玷污。当然，西方炼铜的，该怎么死怎么死。在我的生活中，只要txl不干扰他人并强迫接受，那可以理解。当然，不诅咒已经是最大的克制了。不祝福，不喜欢。,1,ToxiCN
分裂粪汁😄,1,ToxiCN
清汤火锅！！加沙茶酱！好吃死了！！就是鲜牛肉。有空一起吃！！我最爱吃了！！１７８　１２２的人，吃到１５０了！！５５５５５,0,ToxiCN
是，最早就是河南，我还记得井盖和董存瑞。现在得加上东三省了。嗯嗯，估计明后年再回答这个问题的时候山东人会要求把他们也加上。,0,ToxiCN
我在知乎就见到有人说东北人是“劣等种族。,1,CHSD
老表？还有这么巧的事 当然不是所有河南人都偷井盖，也不看看省内什么就业情况，不过说过来前几年偷井盖确实挣钱,0,CHSD
二战结束后，很多非洲之国派遣很多留学生进入前苏留学，但后来他们不得不退学回国。刚开始苏府对这些非洲留学生关爱有加，就像家庭一样温暖，给予很多优待的福利。可惜这些留学生，基本上非富即贵，在前苏根本不是为了学习，而是过来花天酒地的享受。前苏的从下到上的人，没有惯着他们，那些留学生非常过分，吃喝玩乐也就算了，还企图搭讪本土女学生，一开始找那些司机和保洁打听姑娘的所有信息，结果留学生们被胖揍。后来留学生们报警，结果前苏警员都是偏袒本国人，还抓留学生。当年又抓了一个美国大使馆的黑人外交官，应是说留学生故意闹事。当然他们又气又恨，一起举行抗议说是种族歧视。前苏的官员肯定不惯着他们，把他们所有的留学福利取消掉。最后他们受不了苦，只能退学回国。这件事情说明，我们把他们当客人，他们却把自己当大爷，因为他们在自己本土作威作福习惯了，加上他们兄弟姐妹多，缺乏教育。他们之所以嚣张，主要是我们合作的矿产资源太多了，觉得可以引起外交纠纷，就是这样肆无忌惮地嚣张。,1,ToxiCN
女权婊的逼狗可操。鬼老可操。就中国男人不可操,1,CHSD
今晚别睡太死，姆坦马上到你家门口,1,ToxiCN
不用教育，作为国楠已经准备不婚了，不可能有女儿，作为国楠基因不行准备自我淘汰了，没人了就引进非洲青年劳动力，让黑人使劲生，上面最爱宣传中非友谊了，反正上面又不在乎下面，他们自己舒服就行了。,1,ToxiCN
说得好，恶心，讨厌是自己的事情，不要因此违反道德和法律做影响别人的事情,0,ToxiCN
国内国外都有反对的吧。。。只是国外比较开放 。。。,0,ToxiCN
是啊，男女中正常人还是大多数的，只是他们不爱当搅屎棍出来发声，那些男女拳真的怪恶心的呀。,1,ToxiCN
这年头某些烂裤裆都这么明目张胆了？,1,ToxiCN
笑死我了，楼上这意思就是写歌写的不行，唱歌唱歌不行，跳舞跳舞也不比不了专业的，但是我能收到好歌就是音乐艺术家了[惊喜][惊喜][惊喜]还拉黑人呢233333,0,CHSD
我有个同事讲过他小时候的经历，跟你蛮像的，他是在甘肃的一个偏远村子里碰到的远看像月亮的球形ufo，跟着他上学跟了好几天，移动速度超快，他是硬着头皮走下去的，他父母还有公交车上的人都见了。,0,CHSD
快6万公里了，前列腺还好吗？,0,ToxiCN
我也觉得她也就是一个邻家女孩的感觉不晓得四千年这个梗从哪来的,0,CHSD
不会说话就照照镜子看看你自己，把自己的过错一切推给国家是懦弱与无能。,0,ToxiCN
长得高冷所以性格就不能可爱了吗 这是什么逻辑啊……你说炒吃货人设就算了...长得凶相的是不是都该是杀人犯啊 黑人问号？？？,0,CHSD
这也是我认为的感性，我认为的感性就是人总是趋向于自我强化而不是打破自我。,0,ToxiCN
重申：特讨厌说广东人吃福建人这样的所谓笑话，无脑人说的话与放屁一样臭，见一次折叠一次！,1,CHSD
假如这种现象存在，那么其原因是什么？又或平权是为了纵容现象么？是否因为黑人犯罪率高就应该没有平等的权利？我们是在讨论解决方案及可行性。而不是站在道德高点表现得像施舍恩惠。,1,CHSD
婚内强奸就是陷害男人的恶法,0,CHSD
又累又毒的环境你们受得了？,0,ToxiCN
这个说法和今天女人被强奸怪女人爱打扮一样,1,CHSD
"其实这事儿跟黑人关系不大。,这个黑人只是单纯的,因为受教育水平低，所以把他内心所想用非常不友好的方式表达出来,而已。,我的观点是不少“洋人”内心深处，其实就是这么想的，只是很多人出于礼貌或者怂，不把这个事儿,当面对你说出来，",1,CHSD
就没处女座那么追求完美，但是也是比正常有轻微洁癖,0,CHSD
不要这么自大好不好，我是河南人，但我也不喜欢什么河南人是别人祖宗类的话，总之，说话长点脑子,1,ToxiCN
重庆就四川分出来的，所以也有这句脏话。可是很少说啊，我本地人以前都不知道有这句话，是真是很带有攻击性，如果气氛本来就不好了，遇到一个懂这句话的人，可能你会被打的。,0,CHSD
那你不喜欢女人算不算是性别歧视哈哈哈哈哈哈哈,1,CHSD
一个内心少女长相和行事比较刚的19岁少女可以用范思哲云淡风轻吗,0,CHSD
正常，我也经常被喷，习惯就好。,0,ToxiCN
福建人表示不是这个口音 顶多讲成王胡贵,0,CHSD
就像美国白人看不起黑人 黑人干嘛被压榨 你的意思说他们也活该 再者要是胖子或者黑人有一天被压榨的反击了 下场多惨知道不,1,CHSD
😆怂别骂，骂别怂,1,ToxiCN
人和动物乱整我们是不能接受的,0,ToxiCN
这四条对应的国家法国瑞典,0,ToxiCN
简单说就是垃圾，他和姚明根本不是一个级别的人物，林书豪没有在林疯狂后打出实力，菜就是原罪。,1,CHSD
"黑人当下的情况,要的不是平等和平权而是特权,就犹如""白人之上"",是一样的。,情况又回来,美国的种族矛盾,似乎从来没有解决过。现在,全世界都讨厌黑人,尤其是欧美国家,。在黑人的世界中,永远没有奋斗,自强,的观念只有无尽的索取。",1,CHSD
草tm河南，还我们井盖！！！！！！！！！！！！,1,CHSD
那网吧的吸烟区和不吸烟区分开来就是吸烟的被歧视了吗？黑人白人分开只能说是歧视导致的。但是并不是隔离都是歧视晓得伐,1,CHSD
山西人刚从煤窑里出来，愣住了…………,0,ToxiCN
仙女在世界第一女拳国享有犯罪豁免权，二等男人就别叽叽歪歪了。女拳国怎么可能有公平的法律。,1,ToxiCN
明明是胳膊肘往外拐，吃里扒外。现在有个高端名词叫反对种族歧视,1,ToxiCN
一个男的三个女的怎么能叫3p一男儿女双飞，二男一女3p，一男三女是滥交群p？,0,CHSD
黑人的音乐也很牛啊[大笑],0,CHSD
所以我为啥要在乎白皮的歧视呢？我生活在中国呀,1,ToxiCN
可是人家也没有黑河南啊，只是说一些河南人欺骗过他们😅,0,ToxiCN
你以为不搞暗杀是因为华裔地位比非裔高？那是因为华裔背后有个中国在保障下限好吧……中国没了排华法案就能立刻原地复活，,1,CHSD
各位同仁一起努力，多科普多引导多宣传，尤其向自己家族的女性和身边的朋友科普嘿仁的危害，尤其是年轻少女，三观不成熟，没有分辨是非的能力，极容易被祖坟被人刨了媚嘿和田园表所引导，大家一起加油，小弟天天科普，至少家族女性对公fufu都很反感，唯恐避之不及，大家加油,1,ToxiCN
提啥？让她搞，出生人口骤降罢了,1,ToxiCN
那解释一下这个问题，美国白人吸毒人数远超于美国黑人吸毒人数，为何黑人老被杀？种族歧视是有的。美国毒品，黑人喜欢吸粗的，,1,CHSD
容易失足就表示西方思想浸入我国严重，更加证明了反同的重要,1,ToxiCN
北京上海人口减少也算个事？只要稍微放松入户限制，保证会被挤爆。,0,CHSD
黑人老哥的帽子不错,0,CHSD
驻日美军的后代,0,ToxiCN
"什么是泼图？泼图是银河系著名反同明星艺人阿泼授权的以阿泼为主角的反同用表情包，阿泼是所有反同的精神领秀，以此围绕展开的所有二创图中的泼泼在本吧是如同吉祥物的存在,深受吧民爱戴。",1,ToxiCN
别这么虾仁啊,0,ToxiCN
抓住双重标准围点打援,0,ToxiCN
太对了 我也是男童 我巴不得那些恶心的男童(占大部分）都去死😢,1,ToxiCN
第7条很逗逼😄,0,ToxiCN
看了几个小品，天天喊着结婚生娃，能不能关注一下别的，默不要出现在春晚行不,1,ToxiCN
男主出轨以后女主用家常菜把他唤回以后，我就再也看不下去了。什么烂男人，之前因为种种理由建议自己老婆去挑大粪贴补家用的时候，我就已经忍得很辛苦了。,0,CHSD
普信女真下头,1,ToxiCN
算了吧，每个男人在高龄光棍前绝不会以为内卷的会是自己，他们年轻时都不会找这种女人，直到四十岁还打光棍是时，没办法才病急乱投医，但这些女人会找年龄一大把的老男人吗？,1,ToxiCN
河南人家里都没有桌子，有贵宾来了拿出井盖用凳子支起来当桌子，这是种崇高的敬意,0,CHSD
人和低等动物不一样，低等到行为只受基因和本能控制，人是高等动物，有着复杂的情感思维意识，人的行为更大程度上是受后天因素影响，这就好比吸烟喝酒上瘾就很难戒掉，这跟基因无关，只是需要毅力来克服，自我愿不愿意去改变，而非不能改变,0,ToxiCN
你来杭州一趟，就知道有没有歧视安徽人的了。我作为一个杭州人都得承认这是事实存在的，当然这都是以前的事了。,1,ToxiCN
就像在美国，可以讽刺白人，不可以讽刺黑人，因为黑人歧视曾经存在并且还未消失。,1,CHSD
直觉让我山西人进来看帖,0,CHSD
可是舞跳得好的印度人还是比会飞檐走壁的中国人多啊,0,CHSD
哈哈哈哈哈哈哈对不起哈哈哈，我看到图第一反应美丽大方乖巧娇憨弟妹是右上介个黑人小妹哈哈哈,0,CHSD
确定是知乎侧颜颜值最高男作家嘛…黑人问好,0,CHSD
甜上加甜?(虽然我精神洁癖对性敬而远之),0,ToxiCN
玫瑰家应该动员不了高庭所以的军队吧；另外很好奇多恩的情况，三个私生女谋杀了统治多年的正统道朗亲王，难道亲王的属下不报仇？还有其它旁系不出兵杀三个沙蛇以此夺位？,0,CHSD
有三个豪爽的地方很特别，与众不同。可以黑别人，别人不能说它们。😆,1,ToxiCN
被默光顾过就让默带走啊，留下来祸害同胞？,1,ToxiCN
"白人当初来到美洲的时候，也讲究fresh,of,the,boat：刚下船的西班牙人最高贵，当地长大的西班牙人次之，西班牙人和当地的混血再次之，然后才是美洲土著。现在美国的华人把它用倒过来了，以后我们有机会了要把它正过来。",0,CHSD
为了杀人而杀人的其实也有，只不过极少。 例如以前河南的杨新海和黄勇！云南的杀人卖肉的张永明！,1,CHSD
许愿人贩子此生无数孩子，个个被拐卖，女的被强奸，男的被打残，全家不得好死，横死街头，老天让我这个愿望灵验吧！！,0,CHSD
我只能说这个男的真恶心,0,CHSD
微博可以搜一下吴卓濡都是温州的男孩子两个特别像( ),0,CHSD
你看看知乎歧视黑人都成政治正确了。就能明白了为什么白人为什么歧视我们了。,1,CHSD
我身边有很多女性，都是不要彩礼给30万以上嫁妆的，而且婚后还任劳任怨的工作，照顾家里做家务,0,ToxiCN
就最近来说有两个事，lol某主播的前女友发文称其飞黄腾达后抛弃她。我个人的想法是看男方的回应，本来恋爱期间有些东西是说不清的。结果小作文来了，一群人不等男方回应直接定论。如果男方承认了那确实应该锤死，万一有什么反转呢？这次是顺风团，万一下次是逆风呢？,0,ToxiCN
贵州贵阳,0,CHSD
这人的脑壳就有b，两次了，每次的故事都编的漏洞百出,1,ToxiCN
仇亚的人没吃饭吗？ 再来多点，他们亚裔还能承受，毕竟他们是真的配不上这片土地，怎么仇视都不为过。,0,CHSD
对黑人的防范不能算是歧视，因为黑人社会底层多好暴力，也是为了安全着想。,1,CHSD
黑盘你都接？没女人你会死吗？尊严呢？给中华男儿蒙羞！🙂,1,ToxiCN
这样的黑渣子严惩不贷,1,ToxiCN
挪威政府由女性领导：首相以及外交、财政、司法大臣和议长都是女性。而且政府中四个执政党的领袖都是女性。议会中40%是女议员。首相索尔贝格说这“女性领导力与男性领导者一样自然而然”。,0,ToxiCN
中国人不歧视东南亚人吗 对东南亚人没有刻板印象吗,1,CHSD
大部分男人身材不好就是没毅力！不自律！管女性审美什么事？这锅女性不背！,1,CHSD
现在中国胖子也越来越多了。楼主明显没见过世面。没有get到真正的要点。日韩并不受歧视，中国现在地位也高了很多。有很大部分原因是历史的偏见造成的，其次才是其他因素。东方男性不受欢迎的原因更多的在于内向和文化的差异造成的。,0,CHSD
你的逻辑思维不太够，第一句在理，第二句就傻了，图灵的行为确实违反了法律，但是处罚图灵的法律根本没有正义可言，所以第二条站不住，第三句更蠢图灵的死，跟迫害有直接关系，逼死了人工智能之父这种过错还能认为他不是被逼的？,0,ToxiCN
我上大学的时候，被河南人骗了400块钱。。。,0,ToxiCN
修车坑不能更认同 10家最少9家车厂不老实的！而且老板99%都是华人！听你口音中国来的，坑的比本地马来人印度人还要黑！,1,CHSD
再算上实际数据可能统计不完全来讲，可能还会高于这个数，如果你们小镇的位置靠近边境线，毒品泛滥地区，这个数据可能就不能这么算了,0,ToxiCN
农村的老师真的不负责，我表妹小学在湖南读，想考广东的初中，可是英语实在太差，后来请老师补课，虽然考上了这里的初中，但现在英语还是很弱，要知道这里的实验中学还是有外教的呢，这差距，真的很不公平,0,CHSD
你有没有认真读回答，答主并未回避白人歧视我们这一问题，但你请好好将我们是怎么做的和黑人是怎么做的相比较。,0,CHSD
男人们联合起来,0,ToxiCN
